i,X,Y,lnX,lnY
1,682164,1195,13.43302538,7.085901464
2,119994,27,11.69519702,3.295836866
3,138702,0,11.84008303,NA
4,464973,89,13.04973462,4.48863637
5,78503,16,11.27089212,2.772588722
6,150251,69,11.92006251,4.234106505
7,204692,82,12.22926169,4.406719247
8,570623,170,13.25448403,5.135798437
9,316779,66,12.66595965,4.189654742
10,337530,151,12.72940967,5.017279837
11,1965820,1028,14.49142002,6.935370446
12,1587962,921,14.27796199,6.825460036
13,3302660,5748,15.01023876,8.656607247
14,2436467,1431,14.7060596,7.26612878
15,317689,83,12.6688282,4.418840608
16,156649,227,11.96176291,5.424950017
17,166063,299,12.02012251,5.700443573
18,114308,122,11.64665184,4.804021045
19,166112,72,12.02041754,4.276666119
20,293488,77,12.58959203,4.343805422
21,400191,156,12.89969721,5.049856007
22,660480,82,13.40072212,4.406719247
23,1745271,526,14.3724204,6.265301213
24,269856,46,12.50564376,3.828641396
25,285890,101,12.5633624,4.615120517
26,555014,365,13.22674862,5.899897354
27,2068460,1806,14.54231493,7.498869734
28,1157436,700,13.96171777,6.551080335
29,330126,92,12.70722968,4.521788577
30,124254,63,11.73008314,4.143134726
31,64602,3,11.07600065,1.098612289
32,44975,24,10.71386206,3.17805383
33,286583,25,12.56578348,3.218875825
34,451047,168,13.01932683,5.123963979
35,129333,37,11.77014575,3.610917913
36,110692,5,11.61450685,1.609437912
37,129541,28,11.77175271,3.33220451
38,95900,82,11.47106126,4.406719247
39,73449,74,11.20434657,4.304065093
40,1048096,838,13.86248574,6.7310181
41,128623,47,11.76464092,3.850147602
42,108948,17,11.59862598,2.833213344
43,305094,48,12.6283752,3.871201011
44,85302,60,11.35395318,4.094344562
45,78440,17,11.27008928,2.833213344
46,108901,11,11.59819449,2.397895273
47,222546,142,12.3128891,4.955827058
